"inteiro","representacao"
60200,"sessenta mil e duzentos"
60250,"sessenta mil duzentos e cinquenta"
60300,"sessenta mil e trezentos"
60350,"sessenta mil trezentos e cinquenta"
60400,"sessenta mil e quatrocentos"
60450,"sessenta mil quatrocentos e cinquenta"
60500,"sessenta mil e quinhentos"
60550,"sessenta mil quinhentos e cinquenta"
60600,"sessenta mil e seiscentos"
60650,"sessenta mil seiscentos e cinquenta"
60700,"sessenta mil e setecentos"
60750,"sessenta mil setecentos e cinquenta"
60800,"sessenta mil e oitocentos"
60850,"sessenta mil oitocentos e cinquenta"
60900,"sessenta mil e novecentos"
60950,"sessenta mil novecentos e cinquenta"
61000,"sessenta e um mil"
61050,"sessenta e um mil e cinquenta"
61100,"sessenta e um mil e cem"
61150,"sessenta e um mil cento e cinquenta"
61200,"sessenta e um mil e duzentos"
61250,"sessenta e um mil duzentos e cinquenta"
61300,"sessenta e um mil e trezentos"
61350,"sessenta e um mil trezentos e cinquenta"
61400,"sessenta e um mil e quatrocentos"
61450,"sessenta e um mil quatrocentos e cinquenta"
61500,"sessenta e um mil e quinhentos"
61550,"sessenta e um mil quinhentos e cinquenta"
61600,"sessenta e um mil e seiscentos"
61650,"sessenta e um mil seiscentos e cinquenta"
61700,"sessenta e um mil e setecentos"
61750,"sessenta e um mil setecentos e cinquenta"
61800,"sessenta e um mil e oitocentos"
61850,"sessenta e um mil oitocentos e cinquenta"
61900,"sessenta e um mil e novecentos"
61950,"sessenta e um mil novecentos e cinquenta"
62000,"sessenta e dois mil"
62050,"sessenta e dois mil e cinquenta"
62100,"sessenta e dois mil e cem"
62150,"sessenta e dois mil cento e cinquenta"
62200,"sessenta e dois mil e duzentos"
62250,"sessenta e dois mil duzentos e cinquenta"
62300,"sessenta e dois mil e trezentos"
62350,"sessenta e dois mil trezentos e cinquenta"
62400,"sessenta e dois mil e quatrocentos"
62450,"sessenta e dois mil quatrocentos e cinquenta"
62500,"sessenta e dois mil e quinhentos"
62550,"sessenta e dois mil quinhentos e cinquenta"
62600,"sessenta e dois mil e seiscentos"
62650,"sessenta e dois mil seiscentos e cinquenta"
62700,"sessenta e dois mil e setecentos"
62750,"sessenta e dois mil setecentos e cinquenta"
62800,"sessenta e dois mil e oitocentos"
62850,"sessenta e dois mil oitocentos e cinquenta"
62900,"sessenta e dois mil e novecentos"
62950,"sessenta e dois mil novecentos e cinquenta"
63000,"sessenta e três mil"
63050,"sessenta e três mil e cinquenta"
63100,"sessenta e três mil e cem"
63150,"sessenta e três mil cento e cinquenta"
63200,"sessenta e três mil e duzentos"
63250,"sessenta e três mil duzentos e cinquenta"
63300,"sessenta e três mil e trezentos"
63350,"sessenta e três mil trezentos e cinquenta"
63400,"sessenta e três mil e quatrocentos"
63450,"sessenta e três mil quatrocentos e cinquenta"
63500,"sessenta e três mil e quinhentos"
63550,"sessenta e três mil quinhentos e cinquenta"
63600,"sessenta e três mil e seiscentos"
63650,"sessenta e três mil seiscentos e cinquenta"
63700,"sessenta e três mil e setecentos"
63750,"sessenta e três mil setecentos e cinquenta"
63800,"sessenta e três mil e oitocentos"
63850,"sessenta e três mil oitocentos e cinquenta"
63900,"sessenta e três mil e novecentos"
63950,"sessenta e três mil novecentos e cinquenta"
64000,"sessenta e quatro mil"
64050,"sessenta e quatro mil e cinquenta"
64100,"sessenta e quatro mil e cem"
64150,"sessenta e quatro mil cento e cinquenta"
64200,"sessenta e quatro mil e duzentos"
64250,"sessenta e quatro mil duzentos e cinquenta"
64300,"sessenta e quatro mil e trezentos"
64350,"sessenta e quatro mil trezentos e cinquenta"
64400,"sessenta e quatro mil e quatrocentos"
64450,"sessenta e quatro mil quatrocentos e cinquenta"
64500,"sessenta e quatro mil e quinhentos"
64550,"sessenta e quatro mil quinhentos e cinquenta"
64600,"sessenta e quatro mil e seiscentos"
64650,"sessenta e quatro mil seiscentos e cinquenta"
64700,"sessenta e quatro mil e setecentos"
64750,"sessenta e quatro mil setecentos e cinquenta"
64800,"sessenta e quatro mil e oitocentos"
64850,"sessenta e quatro mil oitocentos e cinquenta"
64900,"sessenta e quatro mil e novecentos"
64950,"sessenta e quatro mil novecentos e cinquenta"
65000,"sessenta e cinco mil"
65050,"sessenta e cinco mil e cinquenta"
65100,"sessenta e cinco mil e cem"
65150,"sessenta e cinco mil cento e cinquenta"
65200,"sessenta e cinco mil e duzentos"
65250,"sessenta e cinco mil duzentos e cinquenta"
65300,"sessenta e cinco mil e trezentos"
65350,"sessenta e cinco mil trezentos e cinquenta"
65400,"sessenta e cinco mil e quatrocentos"
65450,"sessenta e cinco mil quatrocentos e cinquenta"
65500,"sessenta e cinco mil e quinhentos"
65550,"sessenta e cinco mil quinhentos e cinquenta"
65600,"sessenta e cinco mil e seiscentos"
65650,"sessenta e cinco mil seiscentos e cinquenta"
65700,"sessenta e cinco mil e setecentos"
65750,"sessenta e cinco mil setecentos e cinquenta"
65800,"sessenta e cinco mil e oitocentos"
65850,"sessenta e cinco mil oitocentos e cinquenta"
65900,"sessenta e cinco mil e novecentos"
65950,"sessenta e cinco mil novecentos e cinquenta"
66000,"sessenta e seis mil"
66050,"sessenta e seis mil e cinquenta"
66100,"sessenta e seis mil e cem"
66150,"sessenta e seis mil cento e cinquenta"
66200,"sessenta e seis mil e duzentos"
66250,"sessenta e seis mil duzentos e cinquenta"
66300,"sessenta e seis mil e trezentos"
66350,"sessenta e seis mil trezentos e cinquenta"
66400,"sessenta e seis mil e quatrocentos"
66450,"sessenta e seis mil quatrocentos e cinquenta"
66500,"sessenta e seis mil e quinhentos"
66550,"sessenta e seis mil quinhentos e cinquenta"
66600,"sessenta e seis mil e seiscentos"
66650,"sessenta e seis mil seiscentos e cinquenta"
66700,"sessenta e seis mil e setecentos"
66750,"sessenta e seis mil setecentos e cinquenta"
66800,"sessenta e seis mil e oitocentos"
66850,"sessenta e seis mil oitocentos e cinquenta"
66900,"sessenta e seis mil e novecentos"
66950,"sessenta e seis mil novecentos e cinquenta"
67000,"sessenta e sete mil"
67050,"sessenta e sete mil e cinquenta"
67100,"sessenta e sete mil e cem"
67150,"sessenta e sete mil cento e cinquenta"
67200,"sessenta e sete mil e duzentos"
67250,"sessenta e sete mil duzentos e cinquenta"
67300,"sessenta e sete mil e trezentos"
67350,"sessenta e sete mil trezentos e cinquenta"
67400,"sessenta e sete mil e quatrocentos"
67450,"sessenta e sete mil quatrocentos e cinquenta"
67500,"sessenta e sete mil e quinhentos"
67550,"sessenta e sete mil quinhentos e cinquenta"
67600,"sessenta e sete mil e seiscentos"
67650,"sessenta e sete mil seiscentos e cinquenta"
67700,"sessenta e sete mil e setecentos"
67750,"sessenta e sete mil setecentos e cinquenta"
67800,"sessenta e sete mil e oitocentos"
67850,"sessenta e sete mil oitocentos e cinquenta"
67900,"sessenta e sete mil e novecentos"
67950,"sessenta e sete mil novecentos e cinquenta"
68000,"sessenta e oito mil"
68050,"sessenta e oito mil e cinquenta"
68100,"sessenta e oito mil e cem"
68150,"sessenta e oito mil cento e cinquenta"
68200,"sessenta e oito mil e duzentos"
68250,"sessenta e oito mil duzentos e cinquenta"
68300,"sessenta e oito mil e trezentos"
68350,"sessenta e oito mil trezentos e cinquenta"
68400,"sessenta e oito mil e quatrocentos"
68450,"sessenta e oito mil quatrocentos e cinquenta"
68500,"sessenta e oito mil e quinhentos"
68550,"sessenta e oito mil quinhentos e cinquenta"
68600,"sessenta e oito mil e seiscentos"
68650,"sessenta e oito mil seiscentos e cinquenta"
68700,"sessenta e oito mil e setecentos"
68750,"sessenta e oito mil setecentos e cinquenta"
68800,"sessenta e oito mil e oitocentos"
68850,"sessenta e oito mil oitocentos e cinquenta"
68900,"sessenta e oito mil e novecentos"
68950,"sessenta e oito mil novecentos e cinquenta"
69000,"sessenta e nove mil"
69050,"sessenta e nove mil e cinquenta"
69100,"sessenta e nove mil e cem"
69150,"sessenta e nove mil cento e cinquenta"
69200,"sessenta e nove mil e duzentos"
69250,"sessenta e nove mil duzentos e cinquenta"
69300,"sessenta e nove mil e trezentos"
69350,"sessenta e nove mil trezentos e cinquenta"
69400,"sessenta e nove mil e quatrocentos"
69450,"sessenta e nove mil quatrocentos e cinquenta"
69500,"sessenta e nove mil e quinhentos"
69550,"sessenta e nove mil quinhentos e cinquenta"
69600,"sessenta e nove mil e seiscentos"
69650,"sessenta e nove mil seiscentos e cinquenta"
69700,"sessenta e nove mil e setecentos"
69750,"sessenta e nove mil setecentos e cinquenta"
69800,"sessenta e nove mil e oitocentos"
69850,"sessenta e nove mil oitocentos e cinquenta"
69900,"sessenta e nove mil e novecentos"
69950,"sessenta e nove mil novecentos e cinquenta"
70000,"setenta mil"
70050,"setenta mil e cinquenta"
70100,"setenta mil e cem"
70150,"setenta mil cento e cinquenta"
70200,"setenta mil e duzentos"
70250,"setenta mil duzentos e cinquenta"
70300,"setenta mil e trezentos"
70350,"setenta mil trezentos e cinquenta"
70400,"setenta mil e quatrocentos"
70450,"setenta mil quatrocentos e cinquenta"
70500,"setenta mil e quinhentos"
70550,"setenta mil quinhentos e cinquenta"
70600,"setenta mil e seiscentos"
70650,"setenta mil seiscentos e cinquenta"
70700,"setenta mil e setecentos"
70750,"setenta mil setecentos e cinquenta"
70800,"setenta mil e oitocentos"
70850,"setenta mil oitocentos e cinquenta"
70900,"setenta mil e novecentos"
70950,"setenta mil novecentos e cinquenta"
71000,"setenta e um mil"
71050,"setenta e um mil e cinquenta"
71100,"setenta e um mil e cem"
71150,"setenta e um mil cento e cinquenta"
71200,"setenta e um mil e duzentos"
71250,"setenta e um mil duzentos e cinquenta"
71300,"setenta e um mil e trezentos"
71350,"setenta e um mil trezentos e cinquenta"
71400,"setenta e um mil e quatrocentos"
71450,"setenta e um mil quatrocentos e cinquenta"
71500,"setenta e um mil e quinhentos"
71550,"setenta e um mil quinhentos e cinquenta"
71600,"setenta e um mil e seiscentos"
71650,"setenta e um mil seiscentos e cinquenta"
71700,"setenta e um mil e setecentos"
71750,"setenta e um mil setecentos e cinquenta"
71800,"setenta e um mil e oitocentos"
71850,"setenta e um mil oitocentos e cinquenta"
71900,"setenta e um mil e novecentos"
71950,"setenta e um mil novecentos e cinquenta"
72000,"setenta e dois mil"
72050,"setenta e dois mil e cinquenta"
72100,"setenta e dois mil e cem"
72150,"setenta e dois mil cento e cinquenta"
72200,"setenta e dois mil e duzentos"
72250,"setenta e dois mil duzentos e cinquenta"
72300,"setenta e dois mil e trezentos"
72350,"setenta e dois mil trezentos e cinquenta"
72400,"setenta e dois mil e quatrocentos"
72450,"setenta e dois mil quatrocentos e cinquenta"
72500,"setenta e dois mil e quinhentos"
72550,"setenta e dois mil quinhentos e cinquenta"
72600,"setenta e dois mil e seiscentos"
72650,"setenta e dois mil seiscentos e cinquenta"
72700,"setenta e dois mil e setecentos"
72750,"setenta e dois mil setecentos e cinquenta"
72800,"setenta e dois mil e oitocentos"
72850,"setenta e dois mil oitocentos e cinquenta"
72900,"setenta e dois mil e novecentos"
72950,"setenta e dois mil novecentos e cinquenta"
73000,"setenta e três mil"
73050,"setenta e três mil e cinquenta"
73100,"setenta e três mil e cem"
73150,"setenta e três mil cento e cinquenta"
73200,"setenta e três mil e duzentos"
73250,"setenta e três mil duzentos e cinquenta"
73300,"setenta e três mil e trezentos"
73350,"setenta e três mil trezentos e cinquenta"
73400,"setenta e três mil e quatrocentos"
73450,"setenta e três mil quatrocentos e cinquenta"
73500,"setenta e três mil e quinhentos"
73550,"setenta e três mil quinhentos e cinquenta"
73600,"setenta e três mil e seiscentos"
73650,"setenta e três mil seiscentos e cinquenta"
73700,"setenta e três mil e setecentos"
73750,"setenta e três mil setecentos e cinquenta"
73800,"setenta e três mil e oitocentos"
73850,"setenta e três mil oitocentos e cinquenta"
73900,"setenta e três mil e novecentos"
73950,"setenta e três mil novecentos e cinquenta"
74000,"setenta e quatro mil"
74050,"setenta e quatro mil e cinquenta"
74100,"setenta e quatro mil e cem"
74150,"setenta e quatro mil cento e cinquenta"
74200,"setenta e quatro mil e duzentos"
74250,"setenta e quatro mil duzentos e cinquenta"
74300,"setenta e quatro mil e trezentos"
74350,"setenta e quatro mil trezentos e cinquenta"
74400,"setenta e quatro mil e quatrocentos"
74450,"setenta e quatro mil quatrocentos e cinquenta"
74500,"setenta e quatro mil e quinhentos"
74550,"setenta e quatro mil quinhentos e cinquenta"
74600,"setenta e quatro mil e seiscentos"
74650,"setenta e quatro mil seiscentos e cinquenta"
74700,"setenta e quatro mil e setecentos"
74750,"setenta e quatro mil setecentos e cinquenta"
74800,"setenta e quatro mil e oitocentos"
74850,"setenta e quatro mil oitocentos e cinquenta"
74900,"setenta e quatro mil e novecentos"
74950,"setenta e quatro mil novecentos e cinquenta"
75000,"setenta e cinco mil"
75050,"setenta e cinco mil e cinquenta"
75100,"setenta e cinco mil e cem"
75150,"setenta e cinco mil cento e cinquenta"
75200,"setenta e cinco mil e duzentos"
75250,"setenta e cinco mil duzentos e cinquenta"
75300,"setenta e cinco mil e trezentos"
75350,"setenta e cinco mil trezentos e cinquenta"
75400,"setenta e cinco mil e quatrocentos"
75450,"setenta e cinco mil quatrocentos e cinquenta"
75500,"setenta e cinco mil e quinhentos"
75550,"setenta e cinco mil quinhentos e cinquenta"
75600,"setenta e cinco mil e seiscentos"
75650,"setenta e cinco mil seiscentos e cinquenta"
75700,"setenta e cinco mil e setecentos"
75750,"setenta e cinco mil setecentos e cinquenta"
75800,"setenta e cinco mil e oitocentos"
75850,"setenta e cinco mil oitocentos e cinquenta"
75900,"setenta e cinco mil e novecentos"
75950,"setenta e cinco mil novecentos e cinquenta"
76000,"setenta e seis mil"
76050,"setenta e seis mil e cinquenta"
76100,"setenta e seis mil e cem"
76150,"setenta e seis mil cento e cinquenta"
76200,"setenta e seis mil e duzentos"
76250,"setenta e seis mil duzentos e cinquenta"
76300,"setenta e seis mil e trezentos"
76350,"setenta e seis mil trezentos e cinquenta"
76400,"setenta e seis mil e quatrocentos"
76450,"setenta e seis mil quatrocentos e cinquenta"
76500,"setenta e seis mil e quinhentos"
76550,"setenta e seis mil quinhentos e cinquenta"
76600,"setenta e seis mil e seiscentos"
76650,"setenta e seis mil seiscentos e cinquenta"
76700,"setenta e seis mil e setecentos"
76750,"setenta e seis mil setecentos e cinquenta"
76800,"setenta e seis mil e oitocentos"
76850,"setenta e seis mil oitocentos e cinquenta"
76900,"setenta e seis mil e novecentos"
76950,"setenta e seis mil novecentos e cinquenta"
77000,"setenta e sete mil"
77050,"setenta e sete mil e cinquenta"
77100,"setenta e sete mil e cem"
77150,"setenta e sete mil cento e cinquenta"
77200,"setenta e sete mil e duzentos"
77250,"setenta e sete mil duzentos e cinquenta"
77300,"setenta e sete mil e trezentos"
77350,"setenta e sete mil trezentos e cinquenta"
77400,"setenta e sete mil e quatrocentos"
77450,"setenta e sete mil quatrocentos e cinquenta"
77500,"setenta e sete mil e quinhentos"
77550,"setenta e sete mil quinhentos e cinquenta"
77600,"setenta e sete mil e seiscentos"
77650,"setenta e sete mil seiscentos e cinquenta"
77700,"setenta e sete mil e setecentos"
77750,"setenta e sete mil setecentos e cinquenta"
77800,"setenta e sete mil e oitocentos"
77850,"setenta e sete mil oitocentos e cinquenta"
77900,"setenta e sete mil e novecentos"
77950,"setenta e sete mil novecentos e cinquenta"
78000,"setenta e oito mil"
78050,"setenta e oito mil e cinquenta"
78100,"setenta e oito mil e cem"
78150,"setenta e oito mil cento e cinquenta"
78200,"setenta e oito mil e duzentos"
78250,"setenta e oito mil duzentos e cinquenta"
78300,"setenta e oito mil e trezentos"
78350,"setenta e oito mil trezentos e cinquenta"
78400,"setenta e oito mil e quatrocentos"
78450,"setenta e oito mil quatrocentos e cinquenta"
78500,"setenta e oito mil e quinhentos"
78550,"setenta e oito mil quinhentos e cinquenta"
78600,"setenta e oito mil e seiscentos"
78650,"setenta e oito mil seiscentos e cinquenta"
78700,"setenta e oito mil e setecentos"
78750,"setenta e oito mil setecentos e cinquenta"
78800,"setenta e oito mil e oitocentos"
78850,"setenta e oito mil oitocentos e cinquenta"
78900,"setenta e oito mil e novecentos"
78950,"setenta e oito mil novecentos e cinquenta"
79000,"setenta e nove mil"
79050,"setenta e nove mil e cinquenta"
79100,"setenta e nove mil e cem"
79150,"setenta e nove mil cento e cinquenta"
79200,"setenta e nove mil e duzentos"
79250,"setenta e nove mil duzentos e cinquenta"
79300,"setenta e nove mil e trezentos"
79350,"setenta e nove mil trezentos e cinquenta"
79400,"setenta e nove mil e quatrocentos"
79450,"setenta e nove mil quatrocentos e cinquenta"
79500,"setenta e nove mil e quinhentos"
79550,"setenta e nove mil quinhentos e cinquenta"
79600,"setenta e nove mil e seiscentos"
79650,"setenta e nove mil seiscentos e cinquenta"
79700,"setenta e nove mil e setecentos"
79750,"setenta e nove mil setecentos e cinquenta"
79800,"setenta e nove mil e oitocentos"
79850,"setenta e nove mil oitocentos e cinquenta"
79900,"setenta e nove mil e novecentos"
79950,"setenta e nove mil novecentos e cinquenta"
80000,"oitenta mil"
80050,"oitenta mil e cinquenta"
80100,"oitenta mil e cem"
80150,"oitenta mil cento e cinquenta"
80200,"oitenta mil e duzentos"
80250,"oitenta mil duzentos e cinquenta"
80300,"oitenta mil e trezentos"
80350,"oitenta mil trezentos e cinquenta"
80400,"oitenta mil e quatrocentos"
80450,"oitenta mil quatrocentos e cinquenta"
80500,"oitenta mil e quinhentos"
80550,"oitenta mil quinhentos e cinquenta"
80600,"oitenta mil e seiscentos"
80650,"oitenta mil seiscentos e cinquenta"
80700,"oitenta mil e setecentos"
80750,"oitenta mil setecentos e cinquenta"
80800,"oitenta mil e oitocentos"
80850,"oitenta mil oitocentos e cinquenta"
80900,"oitenta mil e novecentos"
80950,"oitenta mil novecentos e cinquenta"
81000,"oitenta e um mil"
81050,"oitenta e um mil e cinquenta"
81100,"oitenta e um mil e cem"
81150,"oitenta e um mil cento e cinquenta"
81200,"oitenta e um mil e duzentos"
81250,"oitenta e um mil duzentos e cinquenta"
81300,"oitenta e um mil e trezentos"
81350,"oitenta e um mil trezentos e cinquenta"
81400,"oitenta e um mil e quatrocentos"
81450,"oitenta e um mil quatrocentos e cinquenta"
81500,"oitenta e um mil e quinhentos"
81550,"oitenta e um mil quinhentos e cinquenta"
81600,"oitenta e um mil e seiscentos"
81650,"oitenta e um mil seiscentos e cinquenta"
81700,"oitenta e um mil e setecentos"
81750,"oitenta e um mil setecentos e cinquenta"
81800,"oitenta e um mil e oitocentos"
81850,"oitenta e um mil oitocentos e cinquenta"
81900,"oitenta e um mil e novecentos"
81950,"oitenta e um mil novecentos e cinquenta"
82000,"oitenta e dois mil"
82050,"oitenta e dois mil e cinquenta"
82100,"oitenta e dois mil e cem"
82150,"oitenta e dois mil cento e cinquenta"
82200,"oitenta e dois mil e duzentos"
82250,"oitenta e dois mil duzentos e cinquenta"
82300,"oitenta e dois mil e trezentos"
82350,"oitenta e dois mil trezentos e cinquenta"
82400,"oitenta e dois mil e quatrocentos"
82450,"oitenta e dois mil quatrocentos e cinquenta"
82500,"oitenta e dois mil e quinhentos"
82550,"oitenta e dois mil quinhentos e cinquenta"
82600,"oitenta e dois mil e seiscentos"
82650,"oitenta e dois mil seiscentos e cinquenta"
82700,"oitenta e dois mil e setecentos"
82750,"oitenta e dois mil setecentos e cinquenta"
82800,"oitenta e dois mil e oitocentos"
82850,"oitenta e dois mil oitocentos e cinquenta"
82900,"oitenta e dois mil e novecentos"
82950,"oitenta e dois mil novecentos e cinquenta"
83000,"oitenta e três mil"
83050,"oitenta e três mil e cinquenta"
83100,"oitenta e três mil e cem"
83150,"oitenta e três mil cento e cinquenta"
83200,"oitenta e três mil e duzentos"
83250,"oitenta e três mil duzentos e cinquenta"
83300,"oitenta e três mil e trezentos"
83350,"oitenta e três mil trezentos e cinquenta"
83400,"oitenta e três mil e quatrocentos"
83450,"oitenta e três mil quatrocentos e cinquenta"
83500,"oitenta e três mil e quinhentos"
83550,"oitenta e três mil quinhentos e cinquenta"
83600,"oitenta e três mil e seiscentos"
83650,"oitenta e três mil seiscentos e cinquenta"
83700,"oitenta e três mil e setecentos"
83750,"oitenta e três mil setecentos e cinquenta"
83800,"oitenta e três mil e oitocentos"
83850,"oitenta e três mil oitocentos e cinquenta"
83900,"oitenta e três mil e novecentos"
83950,"oitenta e três mil novecentos e cinquenta"
84000,"oitenta e quatro mil"
84050,"oitenta e quatro mil e cinquenta"
84100,"oitenta e quatro mil e cem"
84150,"oitenta e quatro mil cento e cinquenta"
84200,"oitenta e quatro mil e duzentos"
84250,"oitenta e quatro mil duzentos e cinquenta"
84300,"oitenta e quatro mil e trezentos"
84350,"oitenta e quatro mil trezentos e cinquenta"
84400,"oitenta e quatro mil e quatrocentos"
84450,"oitenta e quatro mil quatrocentos e cinquenta"
84500,"oitenta e quatro mil e quinhentos"
84550,"oitenta e quatro mil quinhentos e cinquenta"
84600,"oitenta e quatro mil e seiscentos"
84650,"oitenta e quatro mil seiscentos e cinquenta"
84700,"oitenta e quatro mil e setecentos"
84750,"oitenta e quatro mil setecentos e cinquenta"
84800,"oitenta e quatro mil e oitocentos"
84850,"oitenta e quatro mil oitocentos e cinquenta"
84900,"oitenta e quatro mil e novecentos"
84950,"oitenta e quatro mil novecentos e cinquenta"
85000,"oitenta e cinco mil"
85050,"oitenta e cinco mil e cinquenta"
85100,"oitenta e cinco mil e cem"
85150,"oitenta e cinco mil cento e cinquenta"
85200,"oitenta e cinco mil e duzentos"
85250,"oitenta e cinco mil duzentos e cinquenta"
85300,"oitenta e cinco mil e trezentos"
85350,"oitenta e cinco mil trezentos e cinquenta"
85400,"oitenta e cinco mil e quatrocentos"
85450,"oitenta e cinco mil quatrocentos e cinquenta"
85500,"oitenta e cinco mil e quinhentos"
85550,"oitenta e cinco mil quinhentos e cinquenta"
85600,"oitenta e cinco mil e seiscentos"
85650,"oitenta e cinco mil seiscentos e cinquenta"
85700,"oitenta e cinco mil e setecentos"
85750,"oitenta e cinco mil setecentos e cinquenta"
85800,"oitenta e cinco mil e oitocentos"
85850,"oitenta e cinco mil oitocentos e cinquenta"
85900,"oitenta e cinco mil e novecentos"
85950,"oitenta e cinco mil novecentos e cinquenta"
86000,"oitenta e seis mil"
86050,"oitenta e seis mil e cinquenta"
86100,"oitenta e seis mil e cem"
86150,"oitenta e seis mil cento e cinquenta"
86200,"oitenta e seis mil e duzentos"
86250,"oitenta e seis mil duzentos e cinquenta"
86300,"oitenta e seis mil e trezentos"
86350,"oitenta e seis mil trezentos e cinquenta"
86400,"oitenta e seis mil e quatrocentos"
86450,"oitenta e seis mil quatrocentos e cinquenta"
86500,"oitenta e seis mil e quinhentos"
86550,"oitenta e seis mil quinhentos e cinquenta"
86600,"oitenta e seis mil e seiscentos"
86650,"oitenta e seis mil seiscentos e cinquenta"
86700,"oitenta e seis mil e setecentos"
86750,"oitenta e seis mil setecentos e cinquenta"
86800,"oitenta e seis mil e oitocentos"
86850,"oitenta e seis mil oitocentos e cinquenta"
86900,"oitenta e seis mil e novecentos"
86950,"oitenta e seis mil novecentos e cinquenta"
87000,"oitenta e sete mil"
87050,"oitenta e sete mil e cinquenta"
87100,"oitenta e sete mil e cem"
87150,"oitenta e sete mil cento e cinquenta"
87200,"oitenta e sete mil e duzentos"
87250,"oitenta e sete mil duzentos e cinquenta"
87300,"oitenta e sete mil e trezentos"
87350,"oitenta e sete mil trezentos e cinquenta"
87400,"oitenta e sete mil e quatrocentos"
87450,"oitenta e sete mil quatrocentos e cinquenta"
87500,"oitenta e sete mil e quinhentos"
87550,"oitenta e sete mil quinhentos e cinquenta"
87600,"oitenta e sete mil e seiscentos"
87650,"oitenta e sete mil seiscentos e cinquenta"
87700,"oitenta e sete mil e setecentos"
87750,"oitenta e sete mil setecentos e cinquenta"
87800,"oitenta e sete mil e oitocentos"
87850,"oitenta e sete mil oitocentos e cinquenta"
87900,"oitenta e sete mil e novecentos"
87950,"oitenta e sete mil novecentos e cinquenta"
88000,"oitenta e oito mil"
88050,"oitenta e oito mil e cinquenta"
88100,"oitenta e oito mil e cem"
88150,"oitenta e oito mil cento e cinquenta"
88200,"oitenta e oito mil e duzentos"
88250,"oitenta e oito mil duzentos e cinquenta"
88300,"oitenta e oito mil e trezentos"
88350,"oitenta e oito mil trezentos e cinquenta"
88400,"oitenta e oito mil e quatrocentos"
88450,"oitenta e oito mil quatrocentos e cinquenta"
88500,"oitenta e oito mil e quinhentos"
88550,"oitenta e oito mil quinhentos e cinquenta"
88600,"oitenta e oito mil e seiscentos"
88650,"oitenta e oito mil seiscentos e cinquenta"
88700,"oitenta e oito mil e setecentos"
88750,"oitenta e oito mil setecentos e cinquenta"
88800,"oitenta e oito mil e oitocentos"
88850,"oitenta e oito mil oitocentos e cinquenta"
88900,"oitenta e oito mil e novecentos"
88950,"oitenta e oito mil novecentos e cinquenta"
89000,"oitenta e nove mil"
89050,"oitenta e nove mil e cinquenta"
89100,"oitenta e nove mil e cem"
89150,"oitenta e nove mil cento e cinquenta"
89200,"oitenta e nove mil e duzentos"
89250,"oitenta e nove mil duzentos e cinquenta"
89300,"oitenta e nove mil e trezentos"
89350,"oitenta e nove mil trezentos e cinquenta"
89400,"oitenta e nove mil e quatrocentos"
89450,"oitenta e nove mil quatrocentos e cinquenta"
89500,"oitenta e nove mil e quinhentos"
89550,"oitenta e nove mil quinhentos e cinquenta"
89600,"oitenta e nove mil e seiscentos"
89650,"oitenta e nove mil seiscentos e cinquenta"
89700,"oitenta e nove mil e setecentos"
89750,"oitenta e nove mil setecentos e cinquenta"
89800,"oitenta e nove mil e oitocentos"
89850,"oitenta e nove mil oitocentos e cinquenta"
89900,"oitenta e nove mil e novecentos"
89950,"oitenta e nove mil novecentos e cinquenta"
90000,"noventa mil"
90050,"noventa mil e cinquenta"
90100,"noventa mil e cem"
90150,"noventa mil cento e cinquenta"
90200,"noventa mil e duzentos"
90250,"noventa mil duzentos e cinquenta"
90300,"noventa mil e trezentos"
90350,"noventa mil trezentos e cinquenta"
90400,"noventa mil e quatrocentos"
90450,"noventa mil quatrocentos e cinquenta"
90500,"noventa mil e quinhentos"
90550,"noventa mil quinhentos e cinquenta"
90600,"noventa mil e seiscentos"
90650,"noventa mil seiscentos e cinquenta"
90700,"noventa mil e setecentos"
90750,"noventa mil setecentos e cinquenta"
90800,"noventa mil e oitocentos"
90850,"noventa mil oitocentos e cinquenta"
90900,"noventa mil e novecentos"
90950,"noventa mil novecentos e cinquenta"
91000,"noventa e um mil"
91050,"noventa e um mil e cinquenta"
91100,"noventa e um mil e cem"
91150,"noventa e um mil cento e cinquenta"
91200,"noventa e um mil e duzentos"
91250,"noventa e um mil duzentos e cinquenta"
91300,"noventa e um mil e trezentos"
91350,"noventa e um mil trezentos e cinquenta"
91400,"noventa e um mil e quatrocentos"
91450,"noventa e um mil quatrocentos e cinquenta"
91500,"noventa e um mil e quinhentos"
91550,"noventa e um mil quinhentos e cinquenta"
91600,"noventa e um mil e seiscentos"
91650,"noventa e um mil seiscentos e cinquenta"
91700,"noventa e um mil e setecentos"
91750,"noventa e um mil setecentos e cinquenta"
91800,"noventa e um mil e oitocentos"
91850,"noventa e um mil oitocentos e cinquenta"
91900,"noventa e um mil e novecentos"
91950,"noventa e um mil novecentos e cinquenta"
92000,"noventa e dois mil"
92050,"noventa e dois mil e cinquenta"
92100,"noventa e dois mil e cem"
92150,"noventa e dois mil cento e cinquenta"
92200,"noventa e dois mil e duzentos"
92250,"noventa e dois mil duzentos e cinquenta"
92300,"noventa e dois mil e trezentos"
92350,"noventa e dois mil trezentos e cinquenta"
92400,"noventa e dois mil e quatrocentos"
92450,"noventa e dois mil quatrocentos e cinquenta"
92500,"noventa e dois mil e quinhentos"
